RouteId,RouteVarId,RouteVarName,RouteVarShortName,RouteNo,StartStop,EndStop,Distance,Outbound,RunningTime
76,151,Lượt đi: Bến xe Chợ Lớn - Đại học Giao thông Vận tải,Đại học Giao thông Vận tải,56,Bến xe Chợ Lớn,KTX Đại học Sư phạm kỹ thuật,26608.0,True,80
76,152,Lượt về: Đại học Giao thông Vận tải - Bến xe Chợ Lớn,Bến xe buýt Chợ Lớn,56,KTX Đại học Sư phạm kỹ thuật,Bến xe Chợ Lớn,28194.000000000004,False,80
